,Feature,REDE_CARD,,,SAFRAPAY_CARD,,,PAGBANK_PIX,,,MERCADO_PAGO_BOLETO,,,
,Provider,REDE,,,SAFRAPAY,,,PAGBANK,,,MERCADO PAGO,,,
,Payment_Method,CARD,,,CARD,,,PIX,,,BOLETO,,,
,,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO
,Country,Brazil,Fully Supported,,Brazil,Fully Supported,,Brazil,Fully Supported,,Brazil,Fully Supported,
,Signed contract with provider,TRUE,,,TRUE,,,TRUE,,,TRUE,,
,Already integrated with Yuno?,TRUE,Done,,TRUE,Done,,TRUE,Done,,TRUE,Done,
,Experience,SDK Yuno,Not Applicable,,SDK Yuno,Not Applicable,,SDK Yuno,Not Applicable,,SDK Yuno,Not Applicable,
,Card Type Accepted,Credit,Not Applicable,,Credit,Not Applicable,,,Not Applicable,,,Not Applicable,
,Verify,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Authorize,TRUE,Implemented,,TRUE,Implemented,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Capture,TRUE,Implemented,,TRUE,Implemented,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Purchase,FALSE,Not Applicable,,FALSE,Not Applicable,,TRUE,Implemented,,TRUE,Implemented,
,Refund,TRUE,Implemented,,TRUE,Implemented,,TRUE,Implemented,,TRUE,Implemented,
,Cancel,TRUE,Implemented,,TRUE,Implemented,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Partial Capture,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Partial Refund,TRUE,Implemented,,TRUE,Implemented,,TRUE,Implemented,,TRUE,Implemented,
,Multiple Captures,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Multiple Refunds,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Checkout,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Redirect,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,External Refunds,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Conciliations,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Installments,Yes,Implemented,,Yes,Implemented,,No,Not Applicable,,No,Not Applicable,
,Chargebacks,TRUE,Not Implemented,,TRUE,Not Implemented,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Network Tokens,TRUE,Implemented,,TRUE,Implemented,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Recurring payments,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Market Segment,Healthcare,Not Applicable,,Healthcare,Not Applicable,,Healthcare,Not Applicable,,Healthcare,Not Applicable,
,Processing model,Acquirer,Not Applicable,,Acquirer,Not Applicable,,Acquirer,Not Applicable,,Aggregator,Not Applicable,
,3DS,Yuno,Implemented,,Yuno,Implemented,,No,Not Applicable,,No,Not Applicable,
,Split payments,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,SubMerchants,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Soft Descriptor,TRUE,Implemented,,TRUE,Implemented,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Customizable expiration time for APMs,FALSE,Not Applicable,,FALSE,Not Applicable,,TRUE,Implemented,,TRUE,Implemented,
,ApplePay,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,GooglePay,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,ClickToPay,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,Not Applicable,
,Expected Go-Live by the Merchant,20/08/2025,Not Applicable,,20/08/2025,Not Applicable,,20/08/2025,Not Applicable,,20/08/2025,Not Applicable,
,Additional requirements,,Not Applicable,,,,,,Not Applicable,,,Not Applicable,
